Unnamed: 0,Year,Life_expectancy,Adult_Mortality,Alcohol,Percentage_expenditure,Hepatitis_B,Measles,BMI,Under_five_deaths,Polio,Total_expenditure,Diphtheria,Incidents_HIV,GDP,Population,Thinness_ten_nineteen_years,Thinness_five_nine_years,Income_composition_of_resources,Schooling,Region_Africa,Region_Asia,Region_Europe,Region_North America,Region_Oceania,Region_South America,Status_Developed
24,2007,75.9,9.0,5.58,0.023780254582918457,98.0,22,51.7,1.0,99.0,0.425705794947994,98.0,0.1,0.024396794420550906,0.0020960493815478593,1.6,1.7,0.703,11.6,0,0,1,0,0,0,0
25,2006,74.2,99.0,5.31,0.0024351771583580105,98.0,68,5.8,1.0,97.0,0.4078751857355126,97.0,0.1,0.002257602277289641,0.2113147263728036,1.7,1.8,0.696,11.4,0,0,1,0,0,0,0
26,2005,73.5,15.0,5.16,0.019906106365087405,98.0,6,49.9,1.0,97.0,0.42719167904903416,98.0,0.1,0.018727542259719475,0.021993089244053007,1.8,1.8,0.685,10.8,0,0,1,0,0,0,0
27,2004,73.0,17.0,4.54,0.16359821092127813,99.0,7,48.9,1.0,98.0,0.4465081723625557,97.0,0.1,0.1629965149738155,0.023084224070171577,1.8,1.9,0.681,10.9,0,0,1,0,0,0,0
28,2003,72.8,18.0,4.29,0.010854755335695234,97.0,8,47.9,1.0,97.0,0.438335809806835,97.0,0.1,0.012689258847078038,0.02397940373563269,1.9,2.0,0.674,10.7,0,0,1,0,0,0,0
29,2002,73.3,15.0,3.73,0.07707611164090088,96.0,16,46.9,1.0,98.0,0.44056463595839523,98.0,0.1,0.09800156434495735,0.000245526520218371,2.0,2.1,0.67,10.7,0,0,1,0,0,0,0
30,2001,73.6,14.0,4.25,0.07094690141067636,96.0,18,46.0,1.0,97.0,0.4182763744427934,97.0,0.1,0.08945188950527114,0.0025519364147747227,2.1,2.1,0.662,10.6,0,0,1,0,0,0,0
31,2000,72.6,11.0,3.66,0.06763277397285963,96.0,662,45.0,1.0,97.0,0.43759286775631495,97.0,0.1,0.07924754914811655,0.002746408671513691,2.1,2.2,0.656,10.7,0,0,1,0,0,0,0
32,2015,75.6,19.0,0.01,0.0,95.0,63,59.5,24.0,95.0,0.0636775631500743,95.0,0.1,0.2788314129894736,0.04337550453157784,6.0,5.8,0.743,14.4,1,0,0,0,0,0,0
33,2014,75.4,11.0,0.01,0.03999736858283387,95.0,0,58.4,24.0,95.0,0.5081723625557206,95.0,0.1,0.036864304866160116,0.04337550453157784,6.0,5.8,0.741,14.4,1,0,0,0,0,0,0
34,2013,75.3,112.0,0.53,0.40150578482727517,95.0,25,57.2,24.0,95.0,0.5014858841010401,95.0,0.1,0.3692155439229663,0.04337550453157784,5.9,5.8,0.737,14.4,1,0,0,0,0,0,0
35,2012,75.1,113.0,0.66,0.4099682867720443,95.0,18,56.1,24.0,95.0,0.42867756315007427,95.0,0.1,0.3754898958873984,0.04337550453157784,5.9,5.8,0.732,14.4,1,0,0,0,0,0,0
36,2011,74.9,116.0,0.56,0.3753641009808745,95.0,112,55.0,24.0,95.0,0.3655274888558692,95.0,0.1,0.3665417265842291,0.04337550453157784,5.9,5.8,0.724,14.0,1,0,0,0,0,0,0
37,2010,74.7,119.0,0.45,0.31763314607592213,95.0,103,53.9,24.0,95.0,0.3528974739970282,95.0,0.1,0.30114772842980014,0.04337550453157784,5.9,5.8,0.714,13.6,1,0,0,0,0,0,0
38,2009,74.4,123.0,0.5,0.2596297105214572,94.0,107,52.8,23.0,94.0,0.3707280832095097,95.0,0.1,0.26101708402782114,0.25043719185168306,6.0,5.9,0.705,13.1,1,0,0,0,0,0,0
39,2008,74.1,126.0,0.46,0.03177468221677238,91.0,217,51.8,23.0,92.0,0.28454680534918275,93.0,0.1,0.03331422983266403,0.2462101389247944,6.0,5.9,0.697,12.6,1,0,0,0,0,0,0
40,2007,73.8,129.0,0.44,0.2362232215697029,9.0,0,5.8,23.0,95.0,0.2563150074294205,95.0,0.1,0.2654955851440863,0.002425042208035461,6.0,5.9,0.69,12.3,1,0,0,0,0,0,0
41,2006,73.4,132.0,0.36,0.19928892268460002,8.0,944,49.8,23.0,95.0,0.22213967310549776,95.0,0.1,0.23373430782423232,0.04337550453157784,6.1,6.0,0.686,12.3,1,0,0,0,0,0,0
42,2005,72.9,136.0,0.5,0.001879705823156442,83.0,16,48.9,22.0,88.0,0.21322436849925708,88.0,0.1,0.0019871511365733346,0.04337550453157784,6.1,6.0,0.68,12.0,1,0,0,0,0,0,0
43,2004,72.3,14.0,0.45,0.16252956983378627,81.0,16,47.9,23.0,86.0,0.23551263001485884,86.0,0.1,0.17530738175363653,0.23183875213494032,6.2,6.1,0.673,11.7,1,0,0,0,0,0,0
44,2003,71.7,146.0,0.34,0.018449936338946153,6.0,16,47.0,23.0,87.0,0.23997028231797918,87.0,0.1,0.019752983694199516,0.22903662864477484,6.3,6.1,0.663,11.5,1,0,0,0,0,0,0
45,2002,71.6,145.0,0.36,0.1095203221914299,6.0,16,46.1,23.0,86.0,0.24962852897473997,86.0,0.1,0.11964711806665979,0.225931851526293,6.3,6.2,0.653,11.1,1,0,0,0,0,0,0
46,2001,71.4,145.0,0.23,0.10913248715896356,6.0,16,45.3,24.0,89.0,0.2578008915304606,89.0,0.1,0.11684746897854735,0.04337550453157784,6.4,6.3,0.644,10.9,1,0,0,0,0,0,0
47,2000,71.3,145.0,0.25,0.11390370135572504,6.0,0,44.4,25.0,86.0,0.23179791976225855,86.0,0.1,0.11848897068688116,0.22019936866424888,6.5,6.4,0.636,10.7,1,0,0,0,0,0,0
48,2015,52.4,335.0,0.01,0.0,64.0,118,23.3,3.5,93.0,0.0636775631500743,64.0,1.9,0.24933774901866018,0.1967249290200978,8.3,8.2,0.531,11.4,1,0,0,0,0,0,0
49,2014,51.7,348.0,8.33,0.01767346628708939,64.0,16,22.7,3.5,68.0,0.21842496285289748,64.0,0.1,0.03223816661313706,0.1901246649078485,8.5,8.3,0.527,11.4,1,0,0,0,0,0,0
50,2013,51.1,355.0,8.1,0.02651768809141677,77.0,16,22.1,3.5,67.0,0.2890044576523031,77.0,0.1,0.032596208776397025,0.18358350510892177,8.6,8.5,0.523,11.4,1,0,0,0,0,0,0
51,2012,56.0,358.0,8.24,0.1888778303921587,75.0,16,21.5,3.5,75.0,0.21768202080237742,75.0,0.1,0.3102499203947309,0.018330175336440886,8.8,8.6,0.508,10.3,1,0,0,0,0,0,0
52,2011,51.0,361.0,8.06,0.17690816453351127,72.0,16,21.0,3.5,73.0,0.22362555720653787,71.0,0.1,0.29006044773556416,0.04337550453157784,8.9,8.8,0.495,9.4,1,0,0,0,0,0,0
53,2010,49.6,365.0,7.8,0.14133525674437278,77.0,16,2.4,3.5,81.0,0.22436849925705793,77.0,0.1,0.23811593917762255,0.04337550453157784,9.1,9.0,0.488,9.0,1,0,0,0,0,0,0
54,2009,49.1,369.0,7.01,0.15702024506142218,61.0,16,19.8,3.5,63.0,0.2971768202080238,93.0,0.1,0.22585259598221935,0.04337550453157784,9.3,9.2,0.48,8.5,1,0,0,0,0,0,0
55,2008,48.7,371.0,7.07,0.18429654207333443,69.0,265,19.3,3.5,65.0,0.2578008915304606,69.0,0.1,0.2610000516189032,0.15365059521291782,9.5,9.4,0.468,8.1,1,0,0,0,0,0,0
56,2007,48.2,375.0,6.35,0.13629669890852905,73.0,1014,18.8,3.5,75.0,0.22362555720653787,73.0,0.1,0.1941964596530276,0.21167768476047183,9.6,9.6,0.454,7.7,1,0,0,0,0,0,0
57,2006,47.7,381.0,5.84,0.01850035265352787,6.0,765,18.2,3.5,93.0,0.3098068350668648,93.0,0.1,0.01759848416386593,0.1597557106453365,9.8,9.7,0.439,7.2,1,0,0,0,0,0,0
58,2005,47.4,382.0,5.04,0.07241139103534594,6.0,258,17.7,3.5,93.0,0.27711738484398213,93.0,0.1,0.09735017086874802,0.04337550453157784,1.0,9.9,0.426,6.8,1,0,0,0,0,0,0
59,2004,47.1,386.0,3.53,0.006538814582384657,6.0,29,17.2,3.5,93.0,0.32243684992570576,93.0,0.1,0.009462065496707804,0.04337550453157784,1.2,1.1,0.415,6.4,1,0,0,0,0,0,0
60,2003,46.8,388.0,3.49,0.026499191653330527,6.0,16,16.8,3.5,93.0,0.300148588410104,93.0,0.1,0.05249749883002968,0.128753838867519,1.4,1.3,0.406,5.9,1,0,0,0,0,0,0
61,2002,46.5,391.0,2.82,0.01772680612320729,6.0,16,16.3,3.5,93.0,0.24219910846953935,93.0,0.1,0.04788842491152473,0.04337550453157784,1.5,1.5,0.401,5.5,1,0,0,0,0,0,0
62,2001,45.7,44.0,2.58,0.02238896772929148,6.0,16,15.8,3.5,41.0,0.37221396731054973,93.0,0.1,0.035400792360862375,0.04337550453157784,1.7,1.7,0.391,5.1,1,0,0,0,0,0,0
63,2000,45.3,48.0,1.85,0.011711823716179317,6.0,16,15.4,3.5,93.0,0.1797919762258544,93.0,0.1,0.03736682878970138,0.11615303935634061,1.9,1.9,0.382,4.6,1,0,0,0,0,0,0
64,2015,76.4,13.0,0.01,0.0,99.0,0,47.7,0.0,86.0,0.0636775631500743,99.0,0.2,0.9156014240769645,2.8951933646687405e-05,3.3,3.3,0.784,13.9,0,0,0,1,0,0,0
65,2014,76.2,131.0,8.56,0.0531167752395233,99.0,0,47.0,0.0,96.0,0.3841010401188707,99.0,0.2,0.8697947734610811,2.8951933646687405e-05,3.3,3.3,0.782,13.9,0,0,0,1,0,0,0
66,2013,76.1,133.0,8.58,0.0531167752395233,99.0,0,46.4,0.0,98.0,0.36849925705794945,99.0,0.2,0.8250157437924771,2.8951933646687405e-05,3.3,3.3,0.781,13.9,0,0,0,1,0,0,0
67,2012,75.9,134.0,8.18,0.0531167752395233,98.0,0,45.7,0.0,97.0,0.3729569093610698,98.0,0.2,0.8480033779957787,2.8951933646687405e-05,3.3,3.3,0.778,13.8,0,0,0,1,0,0,0
68,2011,75.7,136.0,7.84,0.0531167752395233,99.0,0,45.1,0.0,99.0,0.3922734026745914,99.0,0.1,0.8050697188859721,2.8951933646687405e-05,3.3,3.3,0.782,14.1,0,0,0,1,0,0,0
69,2010,75.6,138.0,7.84,0.0531167752395233,98.0,0,44.4,0.0,99.0,0.39078751857355126,98.0,0.1,0.818401946023134,2.8951933646687405e-05,3.3,3.3,0.783,14.1,0,0,0,1,0,0,0
70,2009,75.4,14.0,7.82,0.11014475977252537,98.0,0,43.8,0.0,98.0,0.3335809806835067,99.0,0.1,0.08847276104725102,2.8951933646687405e-05,3.4,3.3,0.788,14.2,0,0,0,1,0,0,0
71,2008,75.2,142.0,8.27,0.1333136539352317,98.0,0,43.2,0.0,99.0,0.3209509658246657,99.0,0.1,0.09932964588961951,2.8951933646687405e-05,3.4,3.3,0.786,14.4,0,0,0,1,0,0,0
72,2007,75.0,144.0,8.64,0.19023769496440177,97.0,0,42.6,0.0,98.0,0.28974739970282315,99.0,0.1,0.9618591496748155,2.8951933646687405e-05,3.4,3.3,0.781,14.5,0,0,0,1,0,0,0
73,2006,74.8,145.0,8.93,0.15952150329306858,99.0,0,42.0,0.0,99.0,0.29494799405646355,99.0,0.1,0.858731986046774,2.8951933646687405e-05,3.4,3.4,0.773,14.7,0,0,0,1,0,0,0
74,2005,74.6,147.0,8.15,0.0531167752395233,99.0,0,41.4,0.0,98.0,0.300148588410104,99.0,0.1,0.7674467179940727,2.8951933646687405e-05,3.5,3.4,0.0,12.4,0,0,0,1,0,0,0
75,2004,74.4,149.0,7.28,0.016860308531063215,97.0,0,4.8,0.0,97.0,0.2852897473997028,97.0,0.1,0.09119760629436707,2.8951933646687405e-05,3.5,3.4,0.0,12.4,0,0,0,1,0,0,0
76,2003,74.2,151.0,7.16,0.8540164679786163,99.0,0,4.1,0.0,99.0,0.30906389301634474,99.0,0.1,0.6572856197486221,2.8951933646687405e-05,3.5,3.5,0.0,12.4,0,0,0,1,0,0,0
77,2002,74.0,153.0,7.21,0.6839177191354521,99.0,0,39.5,0.0,93.0,0.300148588410104,98.0,0.1,0.6334521732637849,2.8951933646687405e-05,3.6,3.5,0.0,12.4,0,0,0,1,0,0,0
78,2001,73.8,154.0,7.51,0.12077066448303275,96.0,0,38.9,0.0,99.0,0.30534918276374445,97.0,0.1,0.6315243334126548,2.8951933646687405e-05,3.6,3.5,0.0,12.4,0,0,0,1,0,0,0
79,2000,73.6,156.0,7.27,0.8316556321420127,6.0,0,38.2,0.0,96.0,0.2793462109955423,95.0,0.1,0.666420268034609,2.8951933646687405e-05,3.7,3.6,0.0,12.4,0,0,0,1,0,0,0
80,2015,76.3,116.0,0.01,0.0,94.0,0,62.8,9.0,93.0,0.0636775631500743,94.0,0.1,0.9088632663081637,0.04337550453157784,1.0,0.9,0.826,17.3,0,0,0,0,0,1,0
81,2014,76.2,118.0,7.93,0.6248952036303147,94.0,1,62.2,9.0,92.0,0.32838038632986627,94.0,0.1,0.8263921414593941,0.04337550453157784,1.0,0.9,0.825,17.3,0,0,0,0,0,1,0
82,2013,76.0,119.0,8.28,0.7387757800690343,94.0,0,61.6,10.0,99.0,0.34323922734026746,94.0,0.1,0.8757573517588603,0.04337550453157784,1.0,0.9,0.823,17.3,0,0,0,0,0,1,0
83,2012,75.9,12.0,8.35,0.8359435657424845,91.0,2,61.0,10.0,99.0,0.3588410104011887,91.0,0.1,0.8752939769838413,0.3034095562424147,1.0,0.9,0.822,17.2,0,0,0,0,0,1,0
84,2011,75.7,12.0,8.11,0.0531167752395233,91.0,3,6.4,10.0,93.0,0.4101040118870728,91.0,0.1,0.8589067891694105,0.04337550453157784,1.0,0.9,0.816,17.1,0,0,0,0,0,1,0
85,2010,75.5,121.0,8.15,0.1383539000915622,94.0,17,59.8,11.0,95.0,0.4591381872213967,94.0,0.1,0.08602927685661281,0.04337550453157784,1.0,0.9,0.802,16.8,0,0,0,0,0,1,0
86,2009,75.6,126.0,8.33,0.0531167752395233,94.0,3,59.2,11.0,97.0,0.5393759286775631,94.0,0.1,0.5507461865564155,0.033888803249226086,1.0,0.9,0.794,16.5,0,0,0,0,0,1,0
87,2008,75.4,126.0,8.41,0.0531167752395233,9.0,0,58.6,11.0,94.0,0.4673105497771174,93.0,0.1,0.6042023044474596,0.30945768579568,1.0,0.9,0.792,16.3,0,0,0,0,0,1,0
88,2007,74.8,129.0,8.16,0.8153694389024749,85.0,0,58.0,12.0,92.0,0.45468053491827637,91.0,0.1,0.4854268122986912,0.2822594625687865,1.1,0.9,0.788,16.3,0,0,0,0,0,1,0
89,2006,75.2,127.0,7.75,0.7088213549288269,84.0,0,57.5,12.0,92.0,0.46879643387815745,91.0,0.1,0.39667928860229756,0.2793406133558942,1.1,0.9,0.782,16.1,0,0,0,0,0,1,0
90,2005,74.9,127.0,7.53,0.07091811390923548,88.0,0,56.9,12.0,95.0,0.48142644873699847,98.0,0.1,0.038823856962625414,0.04337550453157784,1.1,1.0,0.78,16.3,0,0,0,0,0,1,0
91,2004,74.7,13.0,7.63,0.5304975086675648,81.0,0,56.3,12.0,91.0,0.4806835066864784,98.0,0.1,0.2868507071590964,0.04337550453157784,1.1,1.0,0.775,16.3,0,0,0,0,0,1,0
92,2003,74.1,137.0,7.62,0.04246587928189646,73.0,0,55.7,13.0,95.0,0.5832095096582467,96.0,0.1,0.022392214336157262,0.27111332118717335,1.2,1.0,0.77,16.4,0,0,0,0,0,1,0
93,2002,74.1,138.0,7.81,0.3467398446593532,66.0,0,55.1,13.0,94.0,0.5898959881129272,93.0,0.1,0.17397169482906308,0.2675513859749631,1.2,1.0,0.776,16.3,0,0,0,0,0,1,0
94,2001,74.0,138.0,7.76,0.09071597084898385,6.0,0,54.6,13.0,85.0,0.6693907875185736,83.0,0.1,0.048328023416446306,0.26460125455083794,1.2,1.1,0.771,15.6,0,0,0,0,0,1,0
95,2000,74.1,137.0,7.68,0.9948401418606901,6.0,6,54.0,14.0,88.0,0.6567607726597325,83.0,0.1,0.5175317003981027,0.2653280893143144,1.2,1.1,0.764,15.0,0,0,0,0,0,1,0
96,2015,74.8,118.0,0.01,0.0,94.0,33,54.9,1.0,96.0,0.0636775631500743,94.0,0.1,0.02483672824551792,0.020595487608113406,2.1,2.2,0.741,12.7,0,1,0,0,0,0,0
97,2014,74.6,12.0,3.91,0.2179969635806041,93.0,13,54.1,1.0,95.0,0.30534918276374445,93.0,0.1,0.2695135543486564,0.002089341006678505,2.1,2.1,0.739,12.7,0,1,0,0,0,0,0
98,2013,74.4,123.0,3.79,0.2060652757885158,95.0,10,53.3,1.0,96.0,0.3105497771173848,95.0,0.1,0.2593134842598823,0.020430532200799597,2.1,2.1,0.736,12.7,0,1,0,0,0,0,0
99,2012,74.4,121.0,3.89,0.20217420177801756,95.0,0,52.6,1.0,96.0,0.30534918276374445,95.0,0.1,0.24859896174317064,0.20350300037362118,2.0,2.1,0.732,12.7,0,1,0,0,0,0,0
100,2011,73.9,128.0,4.09,0.19247206242566992,95.0,0,51.9,1.0,96.0,0.24814264487369986,95.0,0.1,0.23794337374932292,0.20305523400470984,2.0,2.1,0.729,12.7,0,1,0,0,0,0,0
101,2010,73.5,132.0,4.23,0.16542591069330045,94.0,2,51.2,1.0,96.0,0.31129271916790485,94.0,0.1,0.21711435032419868,0.20317739704180443,2.0,2.1,0.72,12.3,0,1,0,0,0,0,0
102,2009,73.3,137.0,3.96,0.1483644968652592,93.0,0,5.7,1.0,94.0,0.3105497771173848,93.0,0.1,0.20195818638273758,0.20397343398814372,2.0,2.1,0.725,11.9,0,1,0,0,0,0,0
103,2008,73.2,14.0,3.96,0.002130420856454379,89.0,0,5.1,1.0,91.0,0.25482912332838037,89.0,0.1,0.0026720728375507086,0.0021034639011403037,2.0,2.1,0.721,12.3,0,1,0,0,0,0,0
104,2007,73.5,132.0,3.99,0.03286981647004997,85.0,1,49.7,1.0,93.0,0.2927191679049034,88.0,0.1,0.21174880066032775,0.020712778246618643,2.0,2.1,0.707,11.7,0,1,0,0,0,0,0
105,2006,72.9,141.0,4.01,0.18033280221517087,78.0,137,49.2,1.0,87.0,0.312778603268945,87.0,0.1,0.1455630290610645,0.0020867282712030725,2.0,2.1,0.692,11.2,0,1,0,0,0,0,0
106,2005,73.0,137.0,4.25,0.014909954141428032,91.0,16,48.8,1.0,92.0,0.362555720653789,93.0,0.1,0.11083360507272488,0.2105176302093797,2.0,2.1,0.679,10.9,0,1,0,0,0,0,0
107,2004,73.0,132.0,3.81,0.07207911495464318,91.0,16,48.4,1.0,93.0,0.38112927191679047,91.0,0.1,0.08033915757006369,0.0002526585819215794,2.0,2.1,0.668,10.9,0,1,0,0,0,0,0
108,2003,72.7,134.0,3.03,0.005413992000207453,93.0,4,48.1,1.0,96.0,0.3855869242199108,94.0,0.1,0.00617485699253086,0.0022421507247551674,2.0,2.1,0.657,10.8,0,1,0,0,0,0,0
109,2002,72.6,134.0,2.86,0.04216605417520299,91.0,40,47.8,1.0,96.0,0.3736998514115899,94.0,0.1,0.05275353424611171,0.023575559568497557,2.1,2.1,0.645,10.8,0,1,0,0,0,0,0
110,2001,72.6,141.0,2.86,0.03922777335961007,69.0,69,47.4,1.0,97.0,0.41381872213967313,94.0,0.1,0.04675809687874389,0.002515358118118664,2.1,2.1,0.644,11.1,0,1,0,0,0,0,0
111,2000,72.0,142.0,2.9,0.024156145378461526,55.0,15,47.1,1.0,96.0,0.43684992570579495,93.0,0.1,0.04191914977701794,0.02609586069967785,2.1,2.2,0.639,11.2,0,1,0,0,0,0,0
112,2015,82.8,59.0,0.01,0.0,93.0,74,66.6,1.0,93.0,0.0636775631500743,93.0,0.1,0.08398797359132985,0.04337550453157784,0.6,0.6,0.937,20.4,0,0,0,0,1,0,1
113,2014,82.7,6.0,9.71,0.0531167752395233,91.0,340,66.1,1.0,92.0,0.6723625557206537,92.0,0.1,0.08398797359132985,0.16570815758862312,0.6,0.6,0.936,20.4,0,0,0,0,1,0,1
114,2013,82.5,61.0,9.87,0.0531167752395233,91.0,158,65.5,1.0,91.0,0.6679049034175334,91.0,0.1,0.08398797359132985,0.04337550453157784,0.6,0.6,0.933,20.3,0,0,0,0,1,0,1
115,2012,82.3,61.0,10.03,0.0531167752395233,91.0,199,65.0,1.0,92.0,0.6679049034175334,92.0,0.1,0.08398797359132985,0.04337550453157784,0.6,0.6,0.93,20.1,0,0,0,0,1,0,1
116,2011,82.0,63.0,10.3,0.0531167752395233,92.0,190,64.4,1.0,92.0,0.6560178306092124,92.0,0.1,0.08398797359132985,0.015774566969106098,0.6,0.6,0.927,19.8,0,0,0,0,1,0,1
117,2010,81.9,64.0,10.52,0.0531167752395233,92.0,70,63.9,1.0,92.0,0.6560178306092124,92.0,0.1,0.08398797359132985,0.015756983965501157,0.7,0.6,0.927,19.5,0,0,0,0,1,0,1
118,2009,81.7,66.0,10.62,0.0531167752395233,94.0,104,63.4,1.0,92.0,0.6783060921248143,92.0,0.1,0.08398797359132985,0.015315078597791475,0.7,0.6,0.925,19.1,0,0,0,0,1,0,1
119,2008,81.3,66.0,10.76,0.0531167752395233,94.0,65,62.9,1.0,92.0,0.6248142644873699,92.0,0.1,0.08398797359132985,0.015002609557824178,0.7,0.6,0.921,19.1,0,0,0,0,1,0,1
120,2007,81.3,66.0,10.56,0.6434987807470676,94.0,11,62.5,2.0,92.0,0.6062407132243685,92.0,0.1,0.3368253098042182,0.0019942939269505995,0.7,0.6,0.918,19.0,0,0,0,0,1,0,1
121,2006,81.2,66.0,10.31,0.0531167752395233,95.0,0,62.0,2.0,92.0,0.6032689450222882,92.0,0.1,0.08398797359132985,0.0019027069563658347,0.7,0.6,0.915,20.3,0,0,0,0,1,0,1
122,2005,81.0,67.0,10.3,0.4270823730429822,95.0,10,61.5,2.0,92.0,0.600297176820208,92.0,0.1,0.2305010430076691,0.001688674490797275,0.7,0.6,0.91,20.3,0,0,0,0,1,0,1
123,2004,86.0,69.0,9.84,0.43404037679136337,95.0,70,6.9,1.0,92.0,0.6092124814264488,92.0,0.1,0.23425820287274876,0.0014998513918430259,0.7,0.6,0.908,20.7,0,0,0,0,1,0,1
